id;id_courrier;demande_envoi;date_envoi;id_cpr;nir;type_courrier;modele;statut_ged;statut_envoi_courrier
1;28093;2019-05-22T19:14:49;2019-05-22T20:47:27;27599;scalable;Small;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account
2;92630;2019-05-23T01:12:45;2019-05-22T18:11:23;11586;IB Investment Account archive;envisioneer;moratorium pixel withdrawal;Mississippi embrace Developer;synthesize Idaho compress
3;49379;2019-05-23T08:50:42;2019-05-22T21:16:12;71066;Small partnerships;Outdoors;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account
4;69478;2019-05-23T05:56:46;2019-05-22T12:41:04;92969;virtual deposit;Squares mint green e-business;Ghana back-end National;Direct;Profit-focused
5;42710;2019-05-23T09:48:11;2019-05-22T14:11:00;35256;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania;facilitate Tasty Concrete Chips Exclusive
6;69630;2019-05-22T21:52:54;2019-05-22T16:43:16;30087;zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer
7;24205;2019-05-22T19:35:27;2019-05-22T17:41:04;8085;24/7 Re-contextualized cross-platform;invoice withdrawal;bypassing optical;installation;Argentine Peso
8;85835;2019-05-22T19:38:03;2019-05-23T01:59:33;67756;Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global
9;87733;2019-05-22T17:07:01;2019-05-23T03:37:30;22855;Bacon Designer;Equatorial Guinea Vision-oriented;Agent;Human deposit;even-keeled Saint Helena Pound
10;84666;2019-05-22T12:17:06;2019-05-22T13:15:50;88708;optical invoice;Marketing;Dynamic Home Loan Account Tools;Branding;Home Gloves Latvia
