id;id_trace;type_courrier;timestamp_process;id_cpr;nir;adresse_entrante;adresse_enrichie;email;erreur
1;49656;monetize superstructure Fantastic;2019-05-23T08:31:55;1083;Internal Fantastic time-frame;CFP Franc Borders Borders;Common;Leanne_Hansen@gmail.com;parse
2;79157;back-end Unbranded Cambridgeshire;2019-05-23T08:26:03;99593;Practical Soft Salad Guam;Frozen Metal program;SDD bypassing;May39@yahoo.com;International Steel Avon
3;23322;Maine PCI SAS;2019-05-23T04:08:07;94724;Planner navigate repurpose;Buckinghamshire;Oklahoma communities;Ervin.Brown@hotmail.com;Tools
4;46866;Handmade Wooden Cheese Fresh;2019-05-22T18:14:05;74421;Naira Versatile seize;asymmetric EXE;web services;Adolfo_Wolff4@hotmail.com;Lead
5;52770;Agent Gorgeous Rubber Chicken Associate;2019-05-22T21:15:41;16621;magenta heuristic;Credit Card Account Maryland Legacy;Product;Valentina.Beer45@hotmail.com;Money Market Account
6;27738;olive;2019-05-22T22:41:13;38826;Persevering analyzing;Engineer Architect;Beauty dynamic schemas;Marlee13@yahoo.com;Licensed Usability models
7;58116;District Unbranded;2019-05-22T12:46:33;86606;Rustic Steel Shirt drive;Ways Liaison engage;disintermediate Assistant generating;Anibal41@hotmail.com;24/7
8;5637;SMS;2019-05-22T14:18:22;53434;parse Customer Rhode Island;Accounts navigating Ergonomic;purple User-friendly;Lempi87@gmail.com;calculate Fantastic Concrete Computer Baby
9;49816;Springs connecting;2019-05-23T02:25:44;85218;Vietnam California PNG;Connecticut Burg;transmit Credit Card Account;Quinn.Effertz61@hotmail.com;Director
10;60808;withdrawal Jamaica;2019-05-23T07:37:53;90415;real-time Berkshire solid state;middleware Switzerland;Data Granite Configuration;Odessa45@yahoo.com;Orchestrator
